,names,Price,lat,lon,random
2267,Arvind Sporcia,579.8,13.0624992,77.62152929999998,441
2268,Citrus Zen Garden,1000.0,13.0683918,77.60496169999998,667
2269,Citrus Zen Garden,609.0,13.0683918,77.60496169999998,689
2270,Citrus Zen Garden,850.0,13.0683918,77.60496169999998,-164
2271,Sri Bhagwan Embassy,742.3000000000002,12.8355532,77.6916476,-119
2272,Sri Bhagwan Embassy,1020.0,12.8355532,77.6916476,691
2273,TG Ascent,352.4000000000001,12.8664422,77.69074090000002,705
2274,TG Ascent,417.6,12.8664422,77.69074090000002,-702
2275,NR Windgates,1000.0,13.0859552,77.62378000000002,562
2276,NR Windgates,1060.0,13.0859552,77.62378000000002,-557
2277,NR Windgates,1510.0,13.0859552,77.62378000000002,-798
2278,Brigade Metropolis,1160.0,12.9914639,77.70299759999997,694
2279,Brigade Metropolis,1170.0,12.9914639,77.70299759999997,-79
2280,Mana Karmel,500.2,12.8955387,77.70596619999998,-360
2281,Mana Karmel,614.1999999999998,12.8955387,77.70596619999998,90
2282,Millennia Montagna,530.0,12.9715987,77.5945627,710
2283,Millennia Montagna,652.5,12.9715987,77.5945627,-430
2284,Saran Mulberry Woods,1000.0,12.9059509,77.70381440000001,612
2285,Saran Mulberry Woods,2150.0,12.9059509,77.70381440000001,909
2286,Saran Mulberry Woods,1800.0,12.9059509,77.70381440000001,-747
2287,Salarpuria Sattva Gold Summit,285.0,13.0666284,77.65231539999998,752
2288,Lone Star Crexcel Tuscany,1800.0,12.991444,77.615403,360
2289,Lone Star Crexcel Tuscany,1650.0,12.991444,77.615403,208
2290,Nishant Prime,395.1,12.9665946,77.76514519999998,621
2291,Nishant Prime,492.8,12.9665946,77.76514519999998,50
2292,GE Global Green Apple Villas,1150.0,12.7861815,77.71243869999998,-557
2293,Brigade Meadows Plumeria,1500.0,12.8134935,77.5117193,917
2294,Brigade Meadows Plumeria,2400.0,12.8134935,77.5117193,-90
2295,Prestige Notting Hill,6340.0,12.8726581,77.5945658,-327
2296,Salarpuria Sattva Kings Domain,285.3,12.9918038,77.66070409999998,-1000
2297,Salarpuria Sattva Kings Domain,696.8000000000002,12.9918038,77.66070409999998,-296
