"Permanent Location Code Number","District / Taluk / Village / Town / Ward","","Total number of House holds","Total Population","Sex            Ratio","Sex Ratio            0-6 age group","Literacy Rates (7+)","Work Participation Rate","Population"
"","","","","","","","","","Scheduled Castes"
"","","Female","","Person","","","Person","Male","Male"
"1","2","17","3","4","7","8","9","12","14"
"","","","","","","","","",""
"42009000","Ward No.69","1,056","10,761","52,079","934","934","81.9","55.8","3,372"
"42009000","Ward No.70","326","7,337","34,682","953","960","85.7","57.2","2,013"
"42009000","Ward No.71","150","7,737","39,790","802","937","91.1","60.9","7,718"
"42009000","Ward No.72","190","10,413","44,357","936","927","89.1","56.2","3,173"
"42009000","Ward No.73","115","10,057","42,288","909","981","88.6","58.5","4,253"
"42009000","Ward No.74","144","9,565","39,820","904","900","88.7","57.6","2,785"
"42009000","Ward No.75","318","8,262","36,035","962","975","92.4","56.2","3,065"
"42009000","Ward No.76","65","7,576","36,465","942","935","92.1","54.1","2,563"
"42009000","Ward No.77","136","6,763","32,451","905","880","87.4","61.8","704"
"42009000","Ward No.78","399","7,270","37,028","1,000","1,005","88.1","55.2","2,338"
"42009000","Ward No.79","240","6,101","34,988","930","902","86.4","56.3","710"
"42009000","Ward No.80","88","6,622","35,681","978","982","86.8","55.8","1,074"
"42009000","Ward No.81","420","7,979","39,669","769","916","91.1","64.2","3,360"
"42009000","Ward No.82","105","7,255","33,359","991","991","90.4","55.6","5,177"
"42009000","Ward No.83","412","12,453","50,256","879","896","87.0","57.7","2,065"
"42009000","Ward No.84","450","7,397","31,985","881","902","79.2","58.3","3,789"
"42009000","Ward No.85","132","7,729","34,943","954","971","84.2","54.6","6,211"
"42009000","Ward No.86","50","8,882","39,586","1,005","916","88.0","51.9","4,368"
"42009000","Ward No.87","208","12,345","56,530","961","984","83.3","54.4","3,946"
"42009000","Ward No.88","114","5,911","26,103","880","991","88.7","56.1","1,373"
"42009000","Ward No.89","151","7,757","32,889","968","929","89.1","55.9","1,532"
"42009000","Ward No.90","81","7,847","43,432","979","922","80.1","52.1","6,821"
